Speaker,Token,Pitch,Time,Sex,YOB,Tone
1,ma1,130,0,M,1971,1
1,ma1,132,0.25,M,1971,1
1,ma1,126,0.5,M,1971,1
1,ma1,120,0.75,M,1971,1
1,ma1,120,1,M,1971,1
1,ma2,114,0,M,1971,6
1,ma2,111,0.25,M,1971,6
1,ma2,109,0.5,M,1971,6
1,ma2,106,0.75,M,1971,6
1,ma2,104,1,M,1971,6
1,maj3,139,0,M,1971,2
1,maj3,139,0.25,M,1971,2
1,maj3,127,0.5,M,1971,2
1,maj3,115,0.75,M,1971,2
1,maj3,100,1,M,1971,2
1,maj4,130,0,M,1971,3
1,maj4,145,0.25,M,1971,3
1,maj4,147,0.5,M,1971,3
1,maj4,146,0.75,M,1971,3
1,maj4,116,1,M,1971,3
1,maj5,104,0,M,1971,4
1,maj5,107,0.25,M,1971,4
1,maj5,116,0.5,M,1971,4
1,maj5,120,0.75,M,1971,4
1,maj5,112,1,M,1971,4
1,maw6,121,0,M,1971,5
1,maw6,124,0.25,M,1971,5
1,maw6,120,0.5,M,1971,5
1,maw6,121,0.75,M,1971,5
1,maw6,132,1,M,1971,5
2,ma1,121,0,M,1951,1
2,ma1,129,0.25,M,1951,1
2,ma1,124,0.5,M,1951,1
2,ma1,117,0.75,M,1951,1
2,ma1,113,1,M,1951,1
2,ma2,120,0,M,1951,6
2,ma2,113,0.25,M,1951,6
2,ma2,102,0.5,M,1951,6
2,ma2,105,0.75,M,1951,6
2,ma2,92,1,M,1951,6
2,maj3,129,0,M,1951,2
2,maj3,145,0.25,M,1951,2
2,maj3,142,0.5,M,1951,2
2,maj3,121,0.75,M,1951,2
2,maj3,97,1,M,1951,2
2,maj4,142,0,M,1951,3
2,maj4,153,0.25,M,1951,3
2,maj4,170,0.5,M,1951,3
2,maj4,151,0.75,M,1951,3
2,maj4,108,1,M,1951,3
2,maj5,108,0,M,1951,4
2,maj5,110,0.25,M,1951,4
2,maj5,123,0.5,M,1951,4
2,maj5,124,0.75,M,1951,4
2,maj5,102,1,M,1951,4
2,maw6,117,0,M,1951,5
2,maw6,116,0.25,M,1951,5
2,maw6,114,0.5,M,1951,5
2,maw6,115,0.75,M,1951,5
2,maw6,122,1,M,1951,5
3,ma1,123,0,M,1948,1
3,ma1,125,0.25,M,1948,1
3,ma1,124,0.5,M,1948,1
3,ma1,120,0.75,M,1948,1
3,ma1,118,1,M,1948,1
3,ma2,104,0,M,1948,6
3,ma2,101,0.25,M,1948,6
