Token_Number,Speaker,Token,Pitch,Time,Style
1,1,tɕu3,245.23,4.64,connected
1,1,tɕu3,256.82,4.65,connected
1,1,tɕu3,260.36,4.66,connected
1,1,tɕu3,261.2,4.67,connected
1,1,tɕu3,262.87,4.68,connected
1,1,tɕu3,265.19,4.69,connected
1,1,tɕu3,265.58,4.7,connected
1,1,tɕu3,269,4.71,connected
1,1,tɕu3,271.87,4.72,connected
1,1,tɕu3,275.11,4.73,connected
1,1,tɕu3,278.28,4.74,connected
1,1,tɕu3,283.15,4.75,connected
1,1,tɕu3,288.54,4.76,connected
1,1,tɕu3,293.95,4.77,connected
1,1,tɕu3,299,4.78,connected
1,1,tɕu3,303.6,4.79,connected
1,1,tɕu3,306.47,4.8,connected
1,1,tɕu3,308.94,4.81,connected
1,1,tɕu3,309.63,4.82,connected
1,1,tɕu3,305.74,4.83,connected
1,1,tɕu3,297.77,4.84,connected
1,1,tɕu3,284.37,4.85,connected
1,1,tɕu3,268.48,4.86,connected
1,1,tɕu3,249.15,4.87,connected
1,1,tɕu3,262.82,4.88,connected
1,1,tɕu3,299.99,4.89,connected
2,1,muej4,171.87,10.1,connected
2,1,muej4,171.58,10.11,connected
2,1,muej4,171.45,10.12,connected
2,1,muej4,170.32,10.13,connected
2,1,muej4,169.63,10.14,connected
2,1,muej4,169.78,10.15,connected
2,1,muej4,171.22,10.16,connected
2,1,muej4,175.91,10.17,connected
2,1,muej4,181.73,10.18,connected
2,1,muej4,187.21,10.19,connected
2,1,muej4,194.05,10.2,connected
2,1,muej4,200.76,10.21,connected
2,1,muej4,204.43,10.22,connected
2,1,muej4,206.86,10.23,connected
2,1,muej4,207.5,10.24,connected
2,1,muej4,205.27,10.25,connected
2,1,muej4,197.33,10.26,connected
3,1,pow3,230.3,18.6,connected
3,1,pow3,215.99,18.61,connected
3,1,pow3,219.82,18.62,connected
3,1,pow3,221.28,18.63,connected
3,1,pow3,223.9,18.64,connected
3,1,pow3,226.84,18.65,connected
3,1,pow3,229.65,18.66,connected
3,1,pow3,233.12,18.67,connected
3,1,pow3,235.59,18.68,connected
3,1,pow3,237.23,18.69,connected
3,1,pow3,239.41,18.7,connected
3,1,pow3,241.46,18.71,connected
3,1,pow3,243.4,18.72,connected
3,1,pow3,248.37,18.73,connected
3,1,pow3,255.03,18.74,connected
3,1,pow3,262.23,18.75,connected
3,1,pow3,270.89,18.76,connected
3,1,pow3,279.64,18.77,connected
3,1,pow3,285.23,18.78,connected
3,1,pow3,285.63,18.79,connected
3,1,pow3,281.83,18.8,connected
3,1,pow3,275.07,18.81,connected
3,1,pow3,265.5,18.82,connected
3,1,pow3,252.38,18.83,connected
3,1,pow3,230.9,18.84,connected
3,1,pow3,187.77,18.85,connected
4,1,buŋ3,172.66,25.1,connected
4,1,buŋ3,175.94,25.11,connected
4,1,buŋ3,184.97,25.12,connected
4,1,buŋ3,193.81,25.13,connected
4,1,buŋ3,198.83,25.14,connected
4,1,buŋ3,203.89,25.15,connected
4,1,buŋ3,208.8,25.16,connected
4,1,buŋ3,212.64,25.17,connected
4,1,buŋ3,216.33,25.18,connected
4,1,buŋ3,218.6,25.19,connected
4,1,buŋ3,221.63,25.2,connected
4,1,buŋ3,226.08,25.21,connected
4,1,buŋ3,230.55,25.22,connected
4,1,buŋ3,234.85,25.23,connected
4,1,buŋ3,239.64,25.24,connected
4,1,buŋ3,244.22,25.25,connected
4,1,buŋ3,246.95,25.26,connected
4,1,buŋ3,250.63,25.27,connected
4,1,buŋ3,254.89,25.28,connected
4,1,buŋ3,259.17,25.29,connected
4,1,buŋ3,262.76,25.3,connected
4,1,buŋ3,279.61,25.31,connected
4,1,buŋ3,290.8,25.32,connected
4,1,buŋ3,294.63,25.33,connected
4,1,buŋ3,294.66,25.34,connected
4,1,buŋ3,293.01,25.35,connected
4,1,buŋ3,287.27,25.36,connected
4,1,buŋ3,268.21,25.37,connected
4,1,buŋ3,246.67,25.38,connected
4,1,buŋ3,223.77,25.39,connected
4,1,buŋ3,undefined,25.4,connected
5,1,puə4,undefined,34.13,connected
5,1,puə4,undefined,34.14,connected
5,1,puə4,179.2,34.15,connected
5,1,puə4,183.63,34.16,connected
5,1,puə4,186.77,34.17,connected
5,1,puə4,188.19,34.18,connected
